2024-04-24 10:26:39,453 INFO    MainThread:3364787 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_setup.py:_flush():76] Configure stats pid to 3364787
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_setup.py:_flush():76] Loading settings from /home/trf/.config/wandb/settings
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_setup.py:_flush():76] Loading settings from /home/trf/python_work/XRDBench/wandb/settings
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/trf/python_work/XRDBench/main.py'}
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_init.py:_log_setup():524] Logging user logs to /home/trf/python_work/XRDBench/wandb/run-20240424_102639-uvapa8rd/logs/debug.log
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_init.py:_log_setup():525] Logging internal logs to /home/trf/python_work/XRDBench/wandb/run-20240424_102639-uvapa8rd/logs/debug-internal.log
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_init.py:init():564] calling init triggers
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'epochs': 100, 'model': 'NPCNN', 'seed': 2023, 'task': 'crysystem', 'weight_decay': 1e-12, 'num_workers': 32, 'batch_size': 64, 'lr': 0.00025, 'patience': 5, 'use_gpu': True, 'gpu': 2}
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_init.py:init():614] starting backend
2024-04-24 10:26:39,454 INFO    MainThread:3364787 [wandb_init.py:init():618] setting up manager
2024-04-24 10:26:39,456 INFO    MainThread:3364787 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-24 10:26:39,457 INFO    MainThread:3364787 [wandb_init.py:init():624] backend started and connected
2024-04-24 10:26:39,460 INFO    MainThread:3364787 [wandb_init.py:init():715] updated telemetry
2024-04-24 10:26:39,465 INFO    MainThread:3364787 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-24 10:26:40,094 INFO    MainThread:3364787 [wandb_run.py:_on_init():2220] communicating current version
2024-04-24 10:26:40,907 INFO    MainThread:3364787 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-24 10:26:40,907 INFO    MainThread:3364787 [wandb_init.py:init():799] starting run threads in backend
2024-04-24 10:26:47,854 INFO    MainThread:3364787 [wandb_run.py:_console_start():2199] atexit reg
2024-04-24 10:26:47,854 INFO    MainThread:3364787 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2024-04-24 10:26:47,854 INFO    MainThread:3364787 [wandb_run.py:_redirect():2119] Wrapping output streams.
2024-04-24 10:26:47,854 INFO    MainThread:3364787 [wandb_run.py:_redirect():2144] Redirects installed.
2024-04-24 10:26:47,855 INFO    MainThread:3364787 [wandb_init.py:init():840] run started, returning control to user process
